ID_CLIENT,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,REG_ADDRESS_PROVINCE,FACT_ADDRESS_PROVINCE,POSTAL_ADDRESS_PROVINCE,FL_PRESENCE_FL,OWN_AUTO,AGREEMENT_RK,TARGET,FAMILY_INCOME,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
106804370,49,1,3,Состою в браке,2,1,1,0,Оренбургская область,Оренбургская область,Оренбургская область,0,0,59910150,0,3,5000.0,1,1
106804371,32,1,2,Состою в браке,3,3,1,0,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0,0,59910230,0,3,12000.0,1,1
106804372,52,1,1,Состою в браке,4,0,1,0,Иркутская область,Иркутская область,Иркутская область,0,0,59910525,0,3,9000.0,2,1
106804373,39,1,5,Состою в браке,1,1,1,0,Ростовская область,Ростовская область,Ростовская область,1,0,59910803,0,4,25000.0,1,1
106804374,30,0,2,Состою в браке,0,0,1,0,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0,0,59911781,0,3,12000.0,2,1
106804375,29,0,2,Гражданский брак,0,0,1,0,Белгородская область,Белгородская область,Белгородская область,0,1,59911784,0,4,12000.0,2,1
106804376,35,0,5,Разведен(а),1,1,1,0,Вологодская область,Вологодская область,Вологодская область,1,0,59911832,0,4,15000.0,2,2
106804377,41,1,2,Состою в браке,0,0,1,0,Волгоградская область,Волгоградская область,Волгоградская область,1,0,59912034,0,3,6000.0,2,1
106804378,53,0,5,Состою в браке,2,0,1,0,Ярославская область,Ярославская область,Ярославская область,0,0,59912560,0,5,100000.0,1,1
106804379,43,1,3,Состою в браке,0,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,1,0,59912659,0,3,7000.0,1,1
106804380,54,1,3,Не состоял в браке,2,0,1,0,Карелия,Карелия,Карелия,1,0,59912692,0,4,19000.0,1,1
106804381,26,0,3,Не состоял в браке,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,0,0,59913108,1,3,18000.0,2,1
106804382,62,0,2,Гражданский брак,3,0,0,1,Калужская область,Калужская область,Калужская область,0,1,59913134,1,3,7000.0,1,1
106804383,45,1,3,Разведен(а),3,1,1,0,Карелия,Карелия,Карелия,0,0,59913205,0,3,12000.0,1,1
106804384,38,1,5,Состою в браке,0,1,1,0,Еврейская АО,Еврейская АО,Еврейская АО,0,0,59913395,0,4,20000.0,2,1
106804385,41,1,5,Разведен(а),0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,59913542,1,5,60000.0,1,1
106804386,65,1,3,Состою в браке,2,0,0,1,Красноярский край,Красноярский край,Красноярский край,1,0,59913603,0,4,10000.0,1,1
106804387,29,1,3,Состою в браке,1,1,1,0,Свердловская область,Свердловская область,Свердловская область,0,0,59913652,0,3,5200.0,1,1
106804388,34,0,2,Гражданский брак,0,0,1,0,Камчатская область,Камчатская область,Камчатская область,0,0,59913736,1,5,35000.0,1,1
106804389,28,1,5,Не состоял в браке,0,0,1,0,Алтайский край,Алтайский край,Алтайский край,0,0,59913985,0,3,15000.0,1,1
106804390,37,1,5,Состою в браке,1,1,1,0,Липецкая область,Липецкая область,Липецкая область,1,0,59914132,0,3,10000.0,1,1
106804391,42,1,3,Состою в браке,1,1,1,0,Белгородская область,Белгородская область,Белгородская область,0,0,59914133,0,3,10000.0,1,1
106804392,45,1,5,Разведен(а),3,2,1,0,Вологодская область,Вологодская область,Вологодская область,0,0,59914282,0,3,14000.0,1,1
106804393,32,1,3,Не состоял в браке,0,0,1,0,Ростовская область,Ростовская область,Ростовская область,0,1,59914348,0,3,10000.0,1,1
